순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"54,700","-600","-1.1","12,833,463","705,925,940,705","55,300","55,500","54,700","326,547,105,485,000","18.03","5,969,782,550",,,2474
2,000660,SK하이닉스,"83,200","-900","-1.1","2,859,119","238,183,225,415","84,100","84,200","82,900","60,569,796,768,000","3.34","728,002,365",,,
3,207940,삼성바이오로직스,"790,000","40,000","5.3","368,936","282,928,182,000","757,000","790,000","744,000","52,270,350,000,000","2.89","66,165,000",,,
4,035420,NAVER,"270,000","0","0.0","902,631","241,619,418,500","264,000","272,500","261,500","44,351,116,650,000","2.45","164,263,395",,,
5,068270,셀트리온,"321,500","0","0.0","734,734","234,595,853,000","322,500","323,000","315,000","43,383,012,277,500","2.40","134,939,385",,,
6,005935,삼성전자우,"47,250","-450","-0.9","1,381,162","65,553,063,824","47,750","47,800","47,200","38,881,396,575,000","2.15","822,886,700",,,
7,051910,LG화학,"527,000","-4,000","-0.8","330,074","172,229,476,000","524,000","529,000","516,000","37,202,164,761,000","2.05","70,592,343",,,
8,035720,카카오,"318,000","2,000","0.6","1,153,388","362,337,888,000","310,500","321,500","306,000","27,935,078,244,000","1.54","87,846,158",,,
9,006400,삼성SDI,"388,000","1,000","0.3","253,139","97,519,885,000","384,500","389,500","380,500","26,680,637,640,000","1.47","68,764,530",,,
10,005380,현대차,"118,500","-3,000","-2.5","2,377,781","286,788,321,500","122,000","124,000","118,500","25,319,680,159,500","1.40","213,668,187",,,
11,051900,LG생활건강,"1,383,000","-2,000","-0.1","32,327","44,705,719,000","1,385,000","1,397,000","1,363,000","21,599,966,451,000","1.19","15,618,197",,,
12,028260,삼성물산,"111,000","1,000","0.9","289,457","31,945,549,500","111,000","111,500","109,000","20,744,465,991,000","1.15","186,887,081",,,
13,012330,현대모비스,"211,000","-6,000","-2.8","385,366","82,398,175,500","217,000","219,500","211,000","20,056,540,434,000","1.11","95,054,694",,,
14,036570,엔씨소프트,"861,000","2,000","0.2","92,782","79,098,512,000","852,000","866,000","835,000","18,902,412,942,000","1.04","21,954,022",,,
15,017670,SK텔레콤,"214,500","-1,000","-0.5","309,044","66,453,926,600","215,500","216,500","214,000","17,319,955,009,500","0.96","80,745,711",,,
16,005490,POSCO,"197,500","6,000","3.1","808,076","160,425,117,080","192,500","202,000","191,500","17,219,399,912,500","0.95","87,186,835",,,
17,034730,SK,"235,500","2,000","0.9","612,094","146,490,589,500","240,500","244,500","235,000","16,569,849,943,500","0.91","70,360,297",,,
18,091990,셀트리온헬스케어,"103,200","300","0.3","1,161,460","118,991,570,700","102,900","104,100","101,000","15,625,133,462,400","0.86","151,406,332",,,
19,105560,KB금융,"36,200","-500","-1.4","3,159,617","117,131,948,050","37,400","37,950","36,150","15,052,246,704,000","0.83","415,807,920",,,
20,326030,SK바이오팜,"188,000","2,500","1.4","2,255,242","441,134,307,500","192,000","205,000","188,000","14,722,891,000,000","0.81","78,313,250",,,
21,055550,신한지주,"30,450","50","0.2","2,732,370","84,509,771,700","30,800","31,500","30,400","14,536,733,625,750","0.80","477,396,835",,,
22,000270,기아차,"35,800","-900","-2.4","2,150,417","78,350,085,950","36,650","37,250","35,700","14,512,007,822,600","0.80","405,363,347",,,
23,018260,삼성에스디에스,"177,500","-2,500","-1.4","98,254","17,517,702,500","179,000","180,000","177,000","13,734,559,500,000","0.76","77,377,800",,,
24,015760,한국전력,"19,800","0","0.0","2,507,931","49,981,489,150","19,800","20,150","19,750","12,710,888,724,600","0.70","641,964,077",,,
25,003550,LG,"73,200","1,000","1.4","217,709","15,920,224,000","71,800","73,800","71,700","12,631,181,989,200","0.70","172,557,131",,,
26,096770,SK이노베이션,"135,000","10,000","8.0","2,013,371","267,555,223,000","127,000","136,000","126,000","12,482,851,140,000","0.69","92,465,564",,,
27,066570,LG전자,"75,000","100","0.1","798,415","59,972,817,994","75,000","76,300","74,500","12,273,586,050,000","0.68","163,647,814",,,
28,033780,KT&G,"81,800","-500","-0.6","374,093","30,932,049,300","82,100","83,800","81,700","11,230,526,254,600","0.62","137,292,497",,,
29,251270,넷마블,"126,000","-3,000","-2.3","584,599","73,054,764,500","129,000","129,000","122,000","10,810,913,022,000","0.60","85,800,897",,,
30,009150,삼성전기,"142,000","5,500","4.0","1,738,896","241,438,036,000","136,000","144,000","132,500","10,606,504,832,000","0.59","74,693,696",,,
31,090430,아모레퍼시픽,"167,500","-3,500","-2.0","182,296","30,579,113,000","170,500","170,500","166,000","9,791,797,075,000","0.54","58,458,490",,,
32,032830,삼성생명,"47,950","600","1.3","721,053","34,961,645,650","47,550","49,100","47,450","9,590,000,000,000","0.53","200,000,000",,,
33,086790,하나금융지주,"28,900","-1,000","-3.3","2,100,148","62,081,237,600","30,300","30,600","28,800","8,676,995,591,800","0.48","300,242,062",,,
34,000810,삼성화재,"183,000","-500","-0.3","75,712","14,010,743,000","182,500","187,500","182,500","8,669,595,171,000","0.48","47,374,837",,,
35,010130,고려아연,"398,500","29,500","8.0","256,863","101,484,777,500","375,500","404,000","372,500","7,519,695,000,000","0.42","18,870,000",,,
36,010950,S-Oil,"63,000","0","0.0","517,086","33,023,968,200","64,500","64,600","63,000","7,092,715,896,000","0.39","112,582,792",,,
37,019170,신풍제약,"123,000","28,100","29.6","8,420,529","939,522,098,800","111,500","123,000","95,200","6,517,153,770,000","0.36","52,984,990",,,
38,009540,한국조선해양,"90,800","-2,200","-2.4","244,886","22,440,964,200","92,600","93,000","90,700","6,426,198,932,800","0.35","70,773,116",,,
39,316140,우리금융지주,"8,860","-80","-0.9","2,021,128","18,251,585,990","9,000","9,200","8,860","6,399,291,671,380","0.35","722,267,683",,,
40,030200,KT,"24,100","0","0.0","730,052","17,616,804,200","24,150","24,250","24,050","6,292,794,572,800","0.35","261,111,808",,,
41,011170,롯데케미칼,"180,500","5,500","3.1","341,157","62,198,586,000","175,500","186,000","175,000","6,186,713,129,500","0.34","34,275,419",,,
42,021240,코웨이,"77,500","-800","-1.0","185,771","14,514,916,900","78,300","79,600","77,000","5,719,470,472,500","0.32","73,799,619",,,
43,024110,기업은행,"8,350","90","1.1","3,429,965","28,975,886,670","8,320","8,600","8,300","5,648,537,642,900","0.31","676,471,574",,,
44,097950,CJ제일제당,"371,000","-5,500","-1.5","57,786","21,436,804,500","376,000","376,000","369,000","5,585,103,006,000","0.31","15,054,186",,,
45,180640,한진칼,"93,500","-4,900","-5.0","676,454","64,286,044,300","98,900","98,900","92,800","5,532,437,823,000","0.31","59,170,458",,,
46,271560,오리온,"135,000","-4,500","-3.2","82,233","11,200,260,500","138,500","139,000","135,000","5,337,377,820,000","0.29","39,536,132",,,
47,032640,LG유플러스,"12,100","-50","-0.4","1,084,391","13,165,614,700","12,200","12,200","12,100","5,282,997,468,100","0.29","436,611,361",,,
